"repo","query","title","id","url"
"dryad","WOMAC pain","Data from: Translation, cross-cultural adaptation and validation of the traditional Chinese intermittent and constant osteoarthritis pain (ICOAP) questionnaire for knee osteoarthritis","doi:10.5061/dryad.30r34f7","https://datadryad.org/api/v2/versions/23803"
"osf","Brief Pain Inventory","An item content analysis of the Brief Pain Inventory interference subscale as a measure of 'pain-related disability'","5unxp","https://api.osf.io/v2/nodes/5unxp/files/osfstorage/"
"dryad","visual analogue scale pain","Data from: BCI training to move a virtual hand reduces phantom limb pain: a randomized crossover trial","doi:10.5061/dryad.15dv41nt9","https://datadryad.org/api/v2/versions/81408"
"dryad","visual analogue scale pain","Data from: Analysis of early postoperative pain in the first and second knee in staged bilateral total knee arthroplasty: a retrospective controlled study","doi:10.5061/dryad.6537t","https://datadryad.org/api/v2/versions/16324"
"dryad","pain intensity item responses","Data from: Diagnosing depression in chronic pain patients: DSM-IV Major Depressive Disorder vs. Beck Depression Inventory (BDI)","doi:10.5061/dryad.14955","https://datadryad.org/api/v2/versions/17570"
